CAMERA,FIRMWARE,STATUS,SOURCE_FW,SOURCE_CAM,AUTOBUILD,PLATFORMID,OS,OSVER,DIGIC,ROMBASEADDR,MEMBASEADDR,MAXRAMADDR,KEYSYS,FI2FLAGS,DANCING_BITS,THUMB_FW,ARAM_MALLOC,ARAM_HEAP_START,ARAM_HEAP_SIZE,CHDK_IN_ARAM,EXMEM_MALLOC,EXMEM_HEAP_SKIP,EXMEM_BUFFER_SIZE,CHDK_IN_EXMEM
d10,100b,,100a,,,12732,dryos,31,40,0xff810000,0x1900,0x03FFFFFF ,d4,,2,,1,0x34e000,0x32000,1,,0xFD200 ,0x300000 ,
ixus110_sd960,100b,,,,,12733,dryos,31,40,0xff810000,0x1900,0x03FFFFFF ,d4,,2,,,,,,1,,0x180000 ,1
ixus110_sd960,101d,,,,,12733,dryos,31,40,0xff810000,0x1900,0x03FFFFFF ,d4,,2,,,,,,1,,0x180000 ,1
ixus110_sd960,101f,,,,,12733,dryos,31,40,0xff810000,0x1900,0x03FFFFFF ,d4,,2,,,,,,1,,0x180000 ,1
ixus110_sd960,101g,,101f,,,12733,dryos,31,40,0xff810000,0x1900,0x03FFFFFF ,d4,,2,,,,,,1,,0x180000 ,1
a2100,100a,,,,,12734,dryos,31,40,0xFFC00000,0x1900,0x1FFFFFF,d4,,2,,1,0x34e000,0x32000,1,,,,
sx200is,100c,,,,,12736,dryos,31,40,0xFF810000,0x1900,0x03FFFFFF,d4,,2,,1,0x34e000,0x32000,1,1,0x2F7600 ,0x400000 ,
sx200is,100d,,100c,,,12736,dryos,31,40,0xFF810000,0x1900,0x03FFFFFF,d4,,2,,1,0x34e000,0x32000,1,1,0x2F7600 ,0x400000 ,
ixus990_sd970,100a,BETA,,,,12737,dryos,31,40,0xff810000,0x1900,0x03ffffff,d4,,2,,1,0x34e000,0x32000,1,,,,
ixus990_sd970,100b,ALPHA,100a,,SKIP,12737,dryos,31,40,0xff810000,0x1900,0x03ffffff,d4,,2,,1,0x34e000,0x32000,1,,,,
ixus100_sd780,100b,,,,,12738,dryos,31,40,0xff810000,0x1900,0x1FFFFFF,d4,,2,,1,0x34e000,0x32000,1,,,,
ixus100_sd780,100c,,,,,12738,dryos,31,40,0xff810000,0x1900,0x1FFFFFF,d4,,2,,1,0x34e000,0x32000,1,,,,
a1100,100b,,100c,,,12739,dryos,31,40,0xFFC00000,0x1900,0x1FFFFFF,d4,,2,,1,0x34e000,0x32000,1,,,,
a1100,100c,,,,,12739,dryos,31,40,0xFFC00000,0x1900,0x1FFFFFF,d4,,2,,1,0x34e000,0x32000,1,,,,
ixus95_sd1200,100b,,,,,12740,dryos,31,40,0xffC00000,0x1900,0x1FFFFFF,d4,,2,,1,0x34e000,0x32000,1,,,,
ixus95_sd1200,100c,,,,,12740,dryos,31,40,0xffC00000,0x1900,0x1FFFFFF,d4,,2,,1,0x34e000,0x32000,1,,,,
g11,100f,,,,,12767,dryos,39,40,0xff810000,0x1900,0x1FFFFFF,d4,,3,,,,,,,,,
g11,100h,,100j,,,12767,dryos,39,40,0xff810000,0x1900,0x1FFFFFF,d4,,3,,,,,,,,,
g11,100j,,,,,12767,dryos,39,40,0xff810000,0x1900,0x1FFFFFF,d4,,3,,,,,,,,,
g11,100k,,100j,,,12767,dryos,39,40,0xff810000,0x1900,0x1FFFFFF,d4,,3,,,,,,,,,
g11,100l,,,,,12767,dryos,39,40,0xff810000,0x1900,0x1FFFFFF,d4,,3,,,,,,,,,
sx120is,100b,,,,,12768,dryos,39,40,0xFFC00000,0x1900,0x1FFFFFF,d4,,3,,1,0x34e000,0x32000,1,,,,
s90,100c,,,,,12769,dryos,39,40,0xff810000,0x1900,0x1FFFFFF,d4,,3,,,,,,,,,
s90,101a,,,,,12769,dryos,39,40,0xff810000,0x1900,0x1FFFFFF,d4,,3,,,,,,,,,
s90,101b,,101c,,,12769,dryos,39,40,0xff810000,0x1900,0x1FFFFFF,d4,,3,,,,,,,,,
s90,101c,,,,,12769,dryos,39,40,0xff810000,0x1900,0x1FFFFFF,d4,,3,,,,,,,,,
sx20,100f,,,,,12772,dryos,39,40,0xFF810000,0x1900,0x03FFFFFF,d4,,3,,1,0x34e000,0x32000,1,,0x2F7600 ,0x200000 ,
sx20,102b,,,,,12772,dryos,39,40,0xFF810000,0x1900,0x03FFFFFF,d4,,3,,1,0x34e000,0x32000,1,,0x2F7600 ,0x200000 ,
sx20,102c,,102d,,,12772,dryos,39,40,0xFF810000,0x1900,0x03FFFFFF,d4,,3,,1,0x34e000,0x32000,1,,0x2F7600 ,0x400000 ,
sx20,102d,,,,,12772,dryos,39,40,0xFF810000,0x1900,0x03FFFFFF,d4,,3,,1,0x34e000,0x32000,1,,0x2F7600 ,0x400000 ,
ixus200_sd980,100c,,,,,12773,dryos,39,40,0xFF810000,0x1900,0x1FFFFFF,d4,,3,,1,0x38e000,0x32000,1,,,,
ixus200_sd980,101c,,,,,12773,dryos,39,40,0xFF810000,0x1900,0x1FFFFFF,d4,,3,,1,0x38e000,0x32000,1,,,,
ixus200_sd980,101d,,,,,12773,dryos,39,40,0xFF810000,0x1900,0x1FFFFFF,d4,,3,,1,0x38e000,0x32000,1,,,,
ixus120_sd940,100e,,,,,12774,dryos,39,40,0xFF810000,0x1900,0x1FFFFFF,d4,,3,,1,0x34e000,0x32000,1,,,,
ixus120_sd940,101a,,,,,12774,dryos,39,40,0xFF810000,0x1900,0x1FFFFFF,d4,,3,,1,0x34e000,0x32000,1,,,,
ixus120_sd940,102c,,,,,12774,dryos,39,40,0xFF810000,0x1900,0x1FFFFFF,d4,,3,,1,0x34e000,0x32000,1,,,,
ixus120_sd940,103b,,,,,12774,dryos,39,40,0xFF810000,0x1900,0x1FFFFFF,d4,,3,,1,0x34e000,0x32000,1,,,,
ixus120_sd940,103c,,,,,12774,dryos,39,40,0xFF810000,0x1900,0x1FFFFFF,d4,,3,,1,0x34e000,0x32000,1,,,,
ixus130_sd1400,100a,,,,,12787,dryos,43,40,0xff810000,0x1900,0x03ffffff,d4a,,4,,1,0x38e000,0x32000,1,,,,
ixus130_sd1400,100c,,,,,12787,dryos,43,40,0xff810000,0x1900,0x03ffffff,d4a,,4,,1,0x38e000,0x32000,1,,,,
ixus105_sd1300,100b,,,,,12788,dryos,43,40,0xFFC00000,0x1900,0x03ffffff,d4a,,4,,1,0x34e000,0x32000,1,,,,
ixus105_sd1300,100c,,,,,12788,dryos,43,40,0xFFC00000,0x1900,0x03ffffff,d4a,,4,,1,0x34e000,0x32000,1,,,,
ixus105_sd1300,100d,,,,,12788,dryos,43,40,0xFFC00000,0x1900,0x03ffffff,d4a,,4,,1,0x34e000,0x32000,1,,,,
sx210is,100c,,,,,12790,dryos,43,40,0xFF810000,0x1900,0x1FFFFFF,d4a,,4,,,,,,,,,
ixus300_sd4000,100d,,,,,12791,dryos,43,40,0xFF810000 ,0x1900,0x7ffffff ,d4a,,4,,,,,,,0x2F7600 ,0x400000 ,
ixus1000_sd4500,100b,,100d,,,12792,dryos,45,40,0xFF810000,0x1900,0x07ffffff,d4b,,5,,1,0x3ce000,0x32000,1,,,,
ixus1000_sd4500,100d,,,,,12792,dryos,45,40,0xFF810000,0x1900,0x07ffffff,d4b,,5,,1,0x3ce000,0x32000,1,,,,
ixus1000_sd4500,100f,,,,,12792,dryos,45,40,0xFF810000,0x1900,0x07ffffff,d4b,,5,,1,0x3ce000,0x32000,1,,,,
ixus1000_sd4500,101a,,,,,12792,dryos,45,40,0xFF810000,0x1900,0x07ffffff,d4b,,5,,1,0x3ce000,0x32000,1,,,,
ixus1000_sd4500,102b,,,,,12792,dryos,45,40,0xFF810000,0x1900,0x07ffffff,d4b,,5,,1,0x3ce000,0x32000,1,,,,
ixus1000_sd4500,102c,,,,,12792,dryos,45,40,0xFF810000,0x1900,0x07ffffff,d4b,,5,,1,0x3ce000,0x32000,1,,,,
ixus1000_sd4500,102d,,,,,12792,dryos,45,40,0xFF810000,0x1900,0x07ffffff,d4b,,5,,1,0x3ce000,0x32000,1,,,,
ixus1000_sd4500,102e,,,,,12792,dryos,45,40,0xFF810000,0x1900,0x07ffffff,d4b,,5,,1,0x3ce000,0x32000,1,,,,
g12,100c,,,,,12815,dryos,45,40,0xFF810000,0x1900,0x07FFFFFF,d4b,,5,,1,0x3ce000,0x32000,1,,0x2F7600 ,0x400000 ,
