0x006df5d4,_dadd
0xff030214,get_fstype
0xff148e08,get_ptp_buf_size
0xff34b87c,get_ptp_file_buf
0xff0ab54c,get_resource_pointer
0xff023398,get_self_task_errno_pointer
0x006b1b94,get_self_task_id
0xff23dad0,get_string_by_id
0x006b21d8,get_task_properties
0xff06fdbc,GetAdChValue
0xff06fdbc,GetAdChValue_FW
0xff4d843c,GetAdjAFInteg_FW
0xff08011c,GetAdjDataAreaAddress_FW
0xff07ece4,GetAdjTableMapVersion_FW
0xff07ecf4,GetAdjTableValueVersion_FW
0xff07ecac,GetAdjTableVersion_FW
0xff0800f8,GetAdjustmentOffset_FW
0xff06fdb4,GetAdVBattBottom_FW
0xff1d2fc8,GetAEIntegralServiceMode_FW
0xff1d2c64,GetAEIntegralValueWithFix_FW
0xff1d2fbc,GetAEIntegValueBit_FW
0xff1d2b64,GetAEIntegWinData_FW
0xff1d2b78,GetAEIntegWinDataWithMode_FW
0xff1d2d88,GetAllAEIntegralAllValueWithFix_FW
0xff333c90,GetBaseSv
0xff02bf80,GetBatteryCoverClose_FW
0xff078c94,GetBatteryTemperature
0xff078c94,GetBatteryTemperature_FW
0xff3913e8,GetBatteryVoltage_FW
0xff0ae708,GetBuildDate_FW
0xff0ae71c,GetBuildTime_FW
0xff390e3c,GetCameraInformationData_FW
0xff078c1c,GetCCDTemperature
0xff078c1c,GetCCDTemperature_FW
0xff4d62d4,GetCdsGainValue_FW
0xff4d63e4,GetCdsPreGainReg_FW
0xff0af39c,GetCh_FW
0xff0aea40,GetChipVersion_FW
0xff4d3778,GetContinuousMovieJpegVRAMData_FW
0xff4d2e30,GetContinuousVRAMData_FW
0xff4d35ac,GetContinuousVRAMDataWithRingBuffer_FW
0xff1d35c0,GetCrawDataAddr_FW
0xff4d0318,GetCrwImageInfo_FW
0xff3908e0,GetCurrentAdjImgDriveType_FW
0xff1d3e50,GetCurrentAvCoefficient_FW
0xff092c20,GetCurrentAvValue
0xff092c20,GetCurrentAvValue_FW
0xff0c32b4,GetCurrentCaptureModeType_FW
0xff390dec,GetCurrentCcdTemp_FW
0xff4d6404,GetCurrentDriveBaseSvValue_FW
0xff0df57c,GetCurrentExposureTime_FW
0xff20361c,GetCurrentFocusLensPosition_FW
0xff20361c,GetCurrentFocusPosition_FW
0xff3908f8,GetCurrentImgDrvMode_FW
0xff092e0c,GetCurrentIrisPosition_FW
0xff0aa340,GetCurrentMachineTime
0xff1d4eb8,GetCurrentMaximumLogSize_FW
0xff390e0c,GetCurrentOptTemp_FW
0xff0df23c,GetCurrentShutterSpeed
0xff0df23c,GetCurrentShutterSpeed_FW
0xff2035b4,GetCurrentTargetDistance_FW
0xff391880,GetCurrentZoomLensDirection_FW
0xff095578,GetCurrentZoomLensPoint_FW
0xff0954c8,GetCurrentZoomLensPosition_FW
0xff095578,GetCurrentZoomPoint_FW
0xff0954c8,GetCurrentZoomPosition_FW
0xff3d3984,GetCZFramingAssistAutoHighSpeed_FW
0xff3d398c,GetCZFramingAssistAutoLowSpeed_FW
0xff3d397c,GetCZFramingAssistStillSpeed_FW
0xff3d396c,GetCZMovieDefaultSpeed_FW
0xff3d3954,GetCZMovieHighSpeed_FW
0xff3d395c,GetCZMovieLowSpeed_FW
0xff3d3964,GetCZStillDefaultSpeed_FW
0xff3d3944,GetCZStillHighSpeed_FW
0xff3d394c,GetCZStillLowSpeed_FW
0xff122928,GetDarkFixedFocusPosition_FW
